"COSTCNTR","PAYYEAR","PAYPERD","WLUs","PRODUCTIVE    HOURS","BUDGETED","EXPECTED    HRS","ACTUAL","EFFICIENCY","PAID    FTES","WORKED    FTES","PRODUCTIVT","PAID    HOURS","OVERTIME    HOURS","SICK    HOURS","PPRNSWRK","PPLPNWRK","PPAIDWRK","PPOTHWRK"
"RV141072","2014","2","182","2192","13.95","2538.90","12.05","115.81","30","27","89.43","2451","530","32","34","14","13","8"
"","","3","230","2139","13.95","3208.50","9.30","149.98","30","26","86.87","2462","501","107","35","18","4","11"
"","","4","226","2080","13.95","3152.70","9.20","151.56","30","26","85.49","2433","572","118","31","13","5","11"
"","","5","214","1966","13.95","2985.30","9.19","151.79","26","24","91.57","2147","340","136","32","10","5","9"
"","","6","240","2030","13.95","3348.00","8.46","164.86","29","25","85.84","2365","554","86","24","12","9","12"
"","","7","219","1882","13.95","3055.05","8.59","162.32","26","23","89.41","2105","323","65","22","10","4","8"
"","","8","200","1885","13.95","2790.00","9.43","148.01","27","23","86.79","2172","365","181","30","9","6","13"
"","","9","148","1883","13.95","2064.60","12.73","109.60","28","23","84.08","2240","527","158","27","9","4","9"
"","","10","158","1704","13.95","2204.10","10.79","129.32","25","21","85.09","2003","260","205","25","8","3","6"
"","","11","208","1936","13.95","2901.60","9.31","149.83","25","24","93.48","2071","222","99","23","8","6","9"
"","","12","237","1910","13.95","3306.15","8.06","173.07","27","23","87.72","2177","293","59","27","8","6","11"
"","","13","234","2022","13.95","3264.30","8.65","161.36","28","25","89.79","2252","442","58","26","7","4","11"
"","","14","238","2054","13.95","3320.10","8.63","161.58","29","25","85.67","2398","242","109","28","11","4","12"
"","","15","181","2197","13.95","2524.95","12.14","114.92","31","27","87.45","2512","278","84","28","13","8","13"
"","","16","194","1966","13.95","2706.30","10.13","137.64","30","24","80.27","2449","440","142","25","10","6","8"
"","","17","166","1851","13.95","2315.70","11.15","125.08","28","23","82.64","2240","298","115","25","6","6","9"
"","","18","216","1968","13.95","3013.20","9.11","153.08","30","24","80.36","2449","382","233","33","12","11","11"
"","","19","201","2053","13.95","2803.95","10.22","136.55","30","25","85.46","2402","308","199","28","10","10","9"
"","","20","200","2095","13.95","2790.00","10.48","133.12","31","26","83.32","2515","543","109","28","15","13","12"
"","","21","183","2040","13.95","2552.85","11.15","125.12","28","25","90.26","2260","290","48","25","7","5","9"
"","","22","207","1990","13.95","2887.65","9.61","145.09","26","24","93.19","2135","290","62","23","6","3","12"
"","","23","211","1974","13.95","2943.45","9.36","149.04","27","24","90.28","2187","393","60","24","6","1","10"
"","","24","213","1989","13.95","2971.35","9.34","149.32","30","24","82.54","2410","269","245","28","8","6","11"
"","","25","188","2063","13.95","2622.60","10.98","127.08","29","25","87.94","2346","562","113","27","8","1","7"
"","","26","195","2274","13.95","2720.25","11.66","119.62","32","28","86.38","2632","584","79","27","20","8","11"
"RV143064","2014","2","12","1110","127.97","1535.64","92.57","138.24","18","13","76.51","1451","147","8","1","0","0","18"
"","","3","14","1166","127.97","1791.58","83.34","153.55","18","14","79.71","1463","137","16","1","0","0","18"
"","","4","8","1242","127.97","1023.76","155.29","82.41","18","15","84.15","1476","166","64","1","0","0","18"
"","","5","13","1326","127.97","1663.61","102.05","125.39","18","16","87.61","1514","196","140","1","0","0","18"
"","","6","11","1211","127.97","1407.67","110.15","116.18","19","15","78.67","1540","166","59","1","0","0","19"
"","","7","17","1064","127.97","2175.49","62.59","204.45","14","13","92.42","1151","109","31","0","0","0","17"
"","","8","12","1150","127.97","1535.64","95.86","133.50","15","14","94.11","1222","107","35","0","0","0","17"
"","","9","13","1062","127.97","1663.61","81.75","156.53","16","13","81.83","1298","98","4","0","0","0","18"
"","","10","6","1287","127.97","767.82","214.63","59.62","16","16","99.54","1293","80","3","0","0","0","18"
"","","11","16","1250","127.97","2047.52","78.17","163.72","16","15","96.23","1299","70","8","0","0","0","18"
"","","12","8","1212","127.97","1023.76","151.57","84.43","16","15","92.73","1307","142","40","0","0","0","18"
"","","13","16","1049","127.97","2047.52","65.56","195.19","16","13","80.29","1306","127","0","0","0","0","18"
"","","14","21","1215","127.97","2687.37","57.86","221.17","15","15","95.95","1266","118","8","0","0","0","18"
"","","15","16","1061","127.97","2047.52","66.37","192.81","15","13","87.70","1210","116","24","0","0","0","16"
"","","16","18","946","127.97","2303.46","52.56","243.48","15","11","77.72","1217","99","16","0","0","0","17"
"","","17","13","1007","127.97","1663.61","77.52","165.07","15","12","82.08","1227","114","8","0","0","0","17"
"","","18","20","913","127.97","2559.40","45.67","280.22","15","11","75.01","1217","89","32","0","0","0","16"
"","","19","22","1048","127.97","2815.34","47.67","268.48","15","13","85.58","1225","116","4","0","0","0","17"
"","","20","22","1042","127.97","2815.34","47.37","270.16","15","13","83.88","1242","150","34","0","0","0","17"
"","","21","20","1115","127.97","2559.40","55.77","229.47","15","13","90.26","1235","149","18","0","0","0","17"
"","","22","25","1069","127.97","3199.25","42.78","299.14","16","13","83.33","1283","91","0","0","0","0","18"
"","","23","15","1008","127.97","1919.55","67.23","190.34","14","12","84.80","1189","100","16","0","0","0","17"
"","","24","18","1058","127.97","2303.46","58.80","217.65","14","13","92.46","1144","94","24","0","0","0","16"
"","","25","20","979","127.97","2559.40","48.95","261.40","14","12","84.47","1159","148","2","0","0","0","16"
"","","26","24","863","127.97","3071.28","35.99","355.58","13","10","81.72","1057","128","16","0","0","0","15"
"RV143367","2014","2","19","51","0.67","12.73","2.68","24.96","0","0","82.26","62","0","0","0","0","0","1"
"","","3","25","53","0.67","16.75","2.14","31.31","0","0","84.92","63","0","0","0","0","0","2"
"","","4","37","48","0.67","24.79","1.31","51.11","0","0","80.17","60","0","4","0","0","0","2"
"","","5","32","81","0.67","21.44","2.53","26.47","1","1","98.78","82","0","0","0","0","0","2"
"","","6","36","77","0.67","24.12","2.16","31.02","1","0","90.67","85","14","0","0","0","0","3"
"","","7","32","74","0.67","21.44","2.31","28.97","1","0","90.24","82","0","0","0","0","0","2"
"","","8","33","56","0.67","22.11","1.72","38.96","1","0","68.58","82","0","6","0","0","0","3"
"","","9","47","75","0.67","31.49","1.60","41.99","1","0","90.36","83","0","0","0","0","0","2"
"","","10","55","77","0.67","36.85","1.41","47.55","0","0","100.00","77","0","0","0","0","0","1"
"","","11","58","74","0.67","38.86","1.28","52.37","0","0","94.88","78","0","4","0","0","0","4"
"","","12","39","80","0.67","26.13","2.07","32.42","1","1","100.00","80","0","0","0","0","0","3"
"","","13","42","121","0.67","28.14","2.89","23.19","1","1","92.74","130","16","0","0","0","0","3"
"","","14","45","72","0.67","30.15","1.62","41.44","1","0","85.84","84","0","12","0","0","0","4"
"","","15","36","77","0.67","24.12","2.15","31.22","0","0","100.00","77","0","0","0","0","0","1"
"","","16","34","67","0.67","22.78","1.97","33.95","0","0","84.56","79","0","0","0","0","0","2"
"","","17","44","75","0.67","29.48","1.71","39.25","0","0","94.94","79","0","0","0","0","0","1"
"","","18","53","56","0.67","35.51","1.07","62.85","1","0","65.32","86","0","0","0","0","0","4"
"","","19","37","96","0.67","24.79","2.60","25.76","1","1","96.01","100","0","0","0","0","0","2"
"","","20","53","74","0.67","35.51","1.41","47.51","1","0","90.33","82","11","0","0","0","0","1"
"","","21","54","71","0.67","36.18","1.33","50.28","0","0","100.00","71","4","0","0","0","0","2"
"","","22","31","75","0.67","20.77","2.43","27.60","0","0","100.00","75","0","0","0","0","0","2"
"","","23","39","39","0.67","26.13","1.00","67.00","0","0","60.94","64","0","0","0","0","0","5"
"","","24","29","62","0.67","19.43","2.15","31.21","0","0","100.00","62","0","0","0","0","0","1"
"","","25","30","51","0.67","20.10","1.73","38.73","0","0","76.44","67","0","8","0","0","0","2"
"","","26","34","49","0.67","22.78","1.46","45.79","0","0","92.56","53","0","0","0","0","0","1"
"RV144083","2014","2","112","2314","16.85","1887.20","20.67","81.53","36","28","79.06","2928","421","131","53","0","0","8"
"","","3","144","2235","16.85","2426.40","15.52","108.55","33","27","83.39","2680","440","136","56","0","0","12"
"","","4","151","2559","16.85","2544.35","16.95","99.41","36","31","88.42","2894","446","60","41","0","0","12"
"","","5","148","2405","16.85","2493.80","16.25","103.69","34","30","88.10","2730","149","181","52","0","0","9"
"","","6","154","2425","16.85","2594.90","15.75","106.98","38","30","79.27","3060","457","284","44","0","2","7"
"","","7","132","2270","16.85","2224.20","17.20","97.98","35","28","80.41","2823","307","319","41","0","0","7"
"","","8","123","2361","16.85","2072.55","19.20","87.78","36","29","81.16","2909","147","208","45","0","0","8"
"","","9","116","2315","16.85","1954.60","19.96","84.43","40","28","72.20","3206","387","172","43","0","0","7"
"","","10","120","2121","16.85","2022.00","17.68","95.30","31","26","84.24","2518","58","91","41","0","0","7"
"","","11","131","2249","16.85","2207.35","17.17","98.12","32","28","85.32","2636","98","184","41","0","0","11"
"","","12","141","2144","16.85","2375.85","15.21","110.79","33","26","79.91","2683","124","176","45","0","0","8"
"","","13","132","2388","16.85","2224.20","18.10","93.11","36","29","80.94","2951","401","218","47","0","0","10"
"","","14","141","2181","16.85","2375.85","15.47","108.91","33","27","80.98","2693","154","216","39","0","0","8"
"","","15","76","2340","16.85","1280.60","30.80","54.71","35","29","82.40","2840","205","172","50","0","0","11"
"","","16","118","1866","16.85","1988.30","15.82","106.50","34","23","67.73","2756","283","152","38","0","0","8"
"","","17","124","1934","16.85","2089.40","15.60","108.01","31","24","75.86","2550","99","265","34","0","0","11"
"","","18","127","2148","16.85","2139.95","16.92","99.59","33","26","79.54","2701","192","99","41","0","0","11"
"","","19","98","2098","16.85","1651.30","21.42","78.68","34","26","75.70","2772","150","232","45","0","0","9"
"","","20","107","2542","16.85","1802.95","23.76","70.91","39","31","80.23","3169","499","120","54","0","2","10"
"","","21","115","2182","16.85","1937.75","18.98","88.78","34","27","80.20","2721","242","70","42","0","2","10"
"","","22","96","2204","16.85","1617.60","22.96","73.39","31","27","86.39","2551","162","75","38","0","2","7"
"","","23","121","2041","16.85","2038.85","16.87","99.89","30","25","84.89","2404","240","112","30","0","2","8"
"","","24","117","2134","16.85","1971.45","18.24","92.38","30","26","88.73","2405","150","44","33","0","2","7"
"","","25","121","2421","16.85","2038.85","20.01","84.21","34","30","88.41","2738","477","0","34","0","2","6"
"","","26","131","2466","16.85","2207.35","18.83","89.51","37","30","81.96","3009","460","72","45","0","2","8"
"RV145367","2014","2","982","466","0.38","373.16","0.47","80.08","8","5","68.33","682","4","18","0","0","0","9"
"","","3","1233","586","0.38","468.54","0.48","79.89","8","7","86.25","680","0","8","0","0","0","9"
"","","4","1219","595","0.38","463.22","0.49","77.79","8","7","85.84","693","27","21","0","0","0","9"
"","","5","1136","645","0.38","431.68","0.57","66.88","8","8","94.93","680","0","4","0","0","0","9"
"","","6","1358","613","0.38","516.04","0.45","84.13","9","7","79.78","768","23","9","0","0","0","10"
"","","7","1342","725","0.38","509.96","0.54","70.29","9","9","95.46","760","0","10","0","0","0","10"
"","","8","1127","702","0.38","428.26","0.62","60.99","9","8","92.01","763","4","14","0","0","0","10"
"","","9","1280","551","0.38","486.40","0.43","88.27","9","6","72.19","763","5","13","0","0","0","11"
"","","10","1286","708","0.38","488.68","0.55","68.95","9","8","92.80","763","0","8","0","0","0","10"
"","","11","1320","715","0.38","501.60","0.54","70.10","9","8","94.14","760","0","23","0","0","0","10"
"","","12","1223","702","0.38","464.74","0.57","66.13","9","8","93.45","752","0","23","0","0","0","10"
"","","13","1304","631","0.38","495.52","0.48","78.44","9","7","83.34","758","0","2","0","0","0","10"
"","","14","1278","680","0.38","485.64","0.53","71.40","9","8","88.34","769","0","21","0","0","0","10"
"","","15","1123","638","0.38","426.74","0.57","66.82","9","7","83.99","760","0","7","0","0","0","10"
"","","16","1389","555","0.38","527.82","0.40","95.10","9","6","73.03","760","0","8","0","0","0","10"
"","","17","1166","639","0.38","443.08","0.55","69.31","9","7","84.11","760","0","0","0","0","0","10"
"","","18","1113","577","0.38","422.94","0.52","73.19","9","7","75.95","760","1","19","0","0","0","10"
"","","19","1091","599","0.38","414.58","0.55","69.11","9","7","78.94","759","0","11","0","0","0","10"
"","","20","1234","551","0.38","468.92","0.45","85.06","9","6","72.15","764","0","20","0","0","0","10"
"","","21","1240","720","0.38","471.20","0.58","65.44","9","9","94.74","760","0","10","0","0","0","10"
"","","22","1201","710","0.38","456.38","0.59","64.26","9","8","93.42","760","1","25","0","0","0","10"
"","","23","1056","663","0.38","401.28","0.63","60.46","9","8","83.62","793","48","70","0","0","0","10"
"","","24","1171","643","0.38","444.98","0.55","69.18","9","8","83.19","773","10","124","0","0","0","9"
"","","25","959","670","0.38","364.42","0.70","54.35","10","8","76.63","875","85","87","0","0","0","11"
"","","26","1175","617","0.38","446.50","0.53","72.30","10","7","70.37","877","4","61","0","0","0","12"
"RV145645","2014","2","98","960","2.68","262.64","9.80","27.35","14","12","80.89","1187","80","17","14","0","1","2"
"","","3","147","928","2.68","393.96","6.32","42.42","14","11","80.27","1156","52","38","13","0","1","2"
"","","4","165","1092","2.68","442.20","6.62","40.46","15","13","87.93","1242","225","40","13","0","1","2"
"","","5","132","1043","2.68","353.76","7.91","33.90","14","13","91.38","1142","58","24","13","0","1","2"
"","","6","167","1033","2.68","447.56","6.19","43.29","15","12","85.43","1210","248","16","13","0","1","1"
